"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome"
"","instruc5","10","109241","0.0-10.0","21110.025000059977","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","11","110745","0.0-11.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","111576","0.0-12.0","829.2249999940395","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","113080","0.0-13.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","113711","0.0-14.0","630.295000039041","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","115217","0.0-15.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","115715","0.0-16.0","497.1000000368804","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","117218","0.0-17.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","117762","0.0-18.0","542.7500000223517","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","119265","0.0-19.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","119976","0.0-20.0","709.5600001048297","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","121477","0.0-21.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","122146","0.0-22.0","667.6449999213219","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","123650","0.0-23.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","124199","0.0-24.0","548.1249999720603","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","125701","0.0-25.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","125996","0.0-26.0","294.16500008665025","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","127499","0.0-27.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","128032","0.0-28.0","531.3649999443442","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","129535","0.0-29.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","",""
"","instruc6","30","133784","0.0-30.0","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>","","","","","","","","","",""
"","html-keyboard-response","31","134645","0.0-31.0","859.8400000482798","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","audio-keyboard-response","32","150968","0.0-32.0","16322.554999962449","run_exp/static/audio/clip_7_pick_pirate.m4a","49","","","","","","","","","","","","","","",""
"","audio-keyboard-response","33","155798","0.0-33.0-0.0","4827.689999947324","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","","","","","","","","","","","",""
"","audio-keyboard-response","34","156630","0.0-33.0-1.0","830.735000083223","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","50","","","","","","","","","","","","","","",""
"","audio-keyboard-response","35","161443","0.0-34.0-0.0","4811.444999882951","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","","","","","","","","","","","",""
"","instruc9","36","166942","0.0-35.0-0.0","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","37","167449","0.0-35.0-1.0","506.0750001575798","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","instruc10","38","204559","0.0-35.0-2.0","null","run_exp/static/audio/clip_12_probe.m4a","null","","","","","<div class='center'><p>Once you've choose a pirate, you’ll be shown the ship they are robbing.</p><p>You will never rob the same ship twice. After all, ships that have already been robbed won’t have gold on them. </p><p>Ships can be told apart from one another by the image on them. See, this one has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","39","212320","0.0-35.0-3.0","7759.325000224635","<div class='center'><p>Once you've choose a pirate, you’ll be shown the ship they are robbing.</p><p>You will never rob the same ship twice. After all, ships that have already been robbed won’t have gold on them. </p><p>Ships can be told apart from one another by the image on them. See, this one has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","instruc11","40","228731","0.0-35.0-4.0","null","run_exp/static/audio/clip_13_changepoint.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p></div>","","","","","","","","","",""
"","html-keyboard-response","41","229416","0.0-35.0-5.0","684.7599998582155","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","instruc12","42","252113","0.0-35.0-6.0","null","run_exp/static/audio/clip_14_drift.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='run_exp/static/images/tutorial/contingency.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","43","253134","0.0-35.0-7.0","1019.6350000333041","<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='run_exp/static/images/tutorial/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","instruc13","44","294745","0.0-35.0-8.0","null","run_exp/static/audio/clip_15_summary.m4a","null","","","","","<div class='center'><p>Let's go over the instructions quickly again. You have two important things to do: </p><b><p> 1. Pick the pirate who is the best at robbing ships on the current island. This way you'll collect more gold coins!</p></b><b><p> 2. Remember on which island a ship was robbed.</p> </b><p>The amount of bonus money you can win depends on both.</p><p><br><p>Let’s try a practice game. The game will start by showing you the pirates. First, pick a pirate using the <b> 1, 2, 3 </b> keys on your keyboard. When you are shown a ship, try to remember which island you’re on by making up a story.</p><p>This is just a practice game, so you’re not playing for money. </p><p> Good luck! This game will be very difficult but try your best!</p></div>","","","","","","","","","",""
"","html-keyboard-response","45","295356","0.0-35.0-9.0","610.0350001361221","<div class='center'><p>Let's go over the instructions quickly again. You have two important things to do: </p><b><p> 1. Pick the pirate who is the best at robbing ships on the current island. This way you'll collect more gold coins!</p></b><b><p> 2. Remember on which island a ship was robbed.</p> </b><p>The amount of bonus money you can win depends on both.</p><p><br><p>Let’s try a practice game. The game will start by showing you the pirates. First, pick a pirate using the <b> 1, 2, 3 </b> keys on your keyboard. When you are shown a ship, try to remember which island you’re on by making up a story.</p><p>This is just a practice game, so you’re not playing for money. </p><p> Good luck! This game will be very difficult but try your best!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","do_welcome","46","299366","0.0-35.0-10.0","null","","","","","","","","null","","","","","","","","",""
"","do_trial","47","304456","0.0-35.0-11.0","581.2250000890344","","","","","","","","49","1,0,0","","","","","","","",""
"","html-keyboard-response","48","305462","0.0-36.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","49","310673","0.0-36.0-1.0","700.8849999401718","","","","","","","","50","1,1,0","","","","","","","",""
"","html-keyboard-response","50","311677","0.0-37.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","51","317056","0.0-37.0-1.0","871.1950001306832","","","","","","","","49","1,0,1","","","","","","","",""
"","html-keyboard-response","52","318060","0.0-38.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","53","323395","0.0-38.0-1.0","824.4799999520183","","","","","","","","51","0,1,0","","","","","","","",""
"","html-keyboard-response","54","324399","0.0-39.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","55","329216","0.0-39.0-1.0","307.7950000297278","","","","","","","","49","1,0,0","","","","","","","",""
"","do_bye","56","330723","0.0-40.0-0.0","null","","","","","","","","null","","","","","","","","",""
"","do_travel","57","339727","0.0-40.0-1.0","null","","","","","","","","null","","","","","","","","",""
"","do_welcome","58","343735","0.0-40.0-2.0","null","","","","","","","","null","","","","","","","","",""
"","do_trial","59","348912","0.0-40.0-3.0","669.9050001334399","","","","","","","","49","1,0,0","","","","","","","",""
"","html-keyboard-response","60","349917","0.0-41.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","61","354702","0.0-41.0-1.0","273.2349999714643","","","","","","","","51","1,0,1","","","","","","","",""
"","html-keyboard-response","62","355706","0.0-42.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","63","360582","0.0-42.0-1.0","367.7450001705438","","","","","","","","49","1,1,0","","","","","","","",""
"","html-keyboard-response","64","361587","0.0-43.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","65","366395","0.0-43.0-1.0","298.13500004820526","","","","","","","","50","0,0,1","","","","","","","",""
"","html-keyboard-response","66","367397","0.0-44.0-0.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","67","372211","0.0-44.0-1.0","305.7750000152737","","","","","","","","51","1,0,1","","","","","","","",""
"","html-keyboard-response","68","373454","0.0-45.0-0.0","1241.6000000666827","<div class='center'><p><img src='run_exp/static/images/tutorial/prac_best_pirate.png'  height='500'></p></div>","49","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","374614","0.0-46.0-0.0","1158.3100000862032","<div class='center'><p>That's correct! Red beard was the best.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","375787","0.0-46.0-1.0","1172.9349999222904","<div class='center'><p><img src='run_exp/static/images/tutorial/prac_source.png'  height='500'></p></div>","50","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","376850","0.0-47.0-0.0","1061.435000039637","<div class='center'><p>That's correct! You saw this ship on the cavern island.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","quiz_beginning","72","388283","0.0-47.0-1.0","null","run_exp/static/audio/clip_16_quiz_intro.m4a","null","","","","","<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>","","","","","","","","","",""
"","audio-keyboard-response","73","393803","0.0-47.0-2.0","5518.129999982193","run_exp/static/audio/clip_17_q1.m4a","49","","","","","","","","","","","","","","",""
"","correct","74","396225","0.0-48.0-0.0","null","run_exp/static/audio/clip_18_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","","","","","","","","","",""
"","html-keyboard-response","75","396847","0.0-48.0-1.0","621.4600000530481","<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","audio-keyboard-response","76","407685","0.0-48.0-2.0","10838.040000060573","run_exp/static/audio/clip_20_q2.m4a","50","","","","","","","","","","","","","","",""
"","correct","77","410087","0.0-49.0-0.0","null","run_exp/static/audio/clip_18_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","","","","","","","","","",""
"","html-keyboard-response","78","411732","0.0-49.0-1.0","1644.0049998927861","<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","audio-keyboard-response","79","419864","0.0-49.0-2.0","8131.340000079945","run_exp/static/audio/clip_22_q3.m4a","50","","","","","","","","","","","","","","",""
"","correct","80","422277","0.0-50.0-0.0","null","run_exp/static/audio/clip_18_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","","","","","","","","","",""
"","html-keyboard-response","81","422805","0.0-50.0-1.0","527.1250000223517","<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","audio-keyboard-response","82","431580","0.0-50.0-2.0","8773.50000012666","run_exp/static/audio/clip_24_q4.m4a","49","","","","","","","","","","","","","","",""
"","correct","83","434027","0.0-51.0-0.0","null","run_exp/static/audio/clip_18_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","","","","","","","","","",""
"","html-keyboard-response","84","434458","0.0-51.0-1.0","429.73500001244247","<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","q_all_corr","85","442967","0.0-52.0-0.0","null","run_exp/static/audio/clip_27_quiz_all_correct.m4a","null","","","","","<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>","","","","","","","","","",""
"","html-keyboard-response","86","443476","0.0-52.0-1.0","508.3800000138581","<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","do_welcome","87","447483","0.0-53.0-0.0","null","","","","","","","","null","","","","","","","","",""
"","do_trial","88","452590","0.0-54.0-0.0","556.3499999698251","","","","","","","","49","1,0,0","0","city","0","probe-186","0.6","0.3","0.1","1"
"","html-keyboard-response","89","453596","0.0-54.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","90","458219","0.0-55.0-0.0","73.46500013954937","","","","","","","","50","1,1,0","0","city","1","probe-159","0.7341060877677821","0.43600522334352576","0.23800975764274535","1"
"","html-keyboard-response","91","459224","0.0-55.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","92","464074","0.0-56.0-0.0","299.3850000202656","","","","","","","","50","1,0,0","0","city","2","probe-113","0.7151505105080074","0.23460938540760645","0.23292960686965627","0"
"","html-keyboard-response","93","465079","0.0-56.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","94","469995","0.0-57.0-0.0","367.19999997876585","","","","","","","","49","1,0,0","0","city","3","probe-60","0.8252968934527236","0.19479566447445737","0.20199897389172677","1"
"","html-keyboard-response","95","471000","0.0-57.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","96","475846","0.0-58.0-0.0","297.6799998432398","","","","","","","","50","1,0,0","0","city","4","probe-90","0.7448053395696077","0.292655476649361","0.1904971106235987","0"
"","html-keyboard-response","97","476852","0.0-58.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","98","481779","0.0-59.0-0.0","377.80999997630715","","","","","","","","51","0,0,1","0","city","5","probe-129","0.6867926529236502","0.2715443885322468","0.25113712318866666","1"
"","html-keyboard-response","99","482784","0.0-59.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","100","487379","0.0-60.0-0.0","44.05499994754791","","","","","","","","49","0,0,0","0","city","6","probe-131","0.626816145418586","0.3451020189322442","0.15174014183282947","0"
"","html-keyboard-response","101","488385","0.0-60.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","102","493230","0.0-61.0-0.0","294.9399999342859","","","","","","","","50","0,0,0","0","city","7","probe-110","0.483549387293635","0.34159085663665506","0.07156444458270354","0"
"","html-keyboard-response","103","494237","0.0-61.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","104","499057","0.0-62.0-0.0","272.0149999950081","","","","","","","","51","1,1,0","0","city","8","probe-27","0.48420022927151024","0.33639371200355916","0.15567760771229103","0"
"","html-keyboard-response","105","500059","0.0-62.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","106","504855","0.0-63.0-0.0","247.28500004857779","","","","","","","","49","0,0,0","0","city","9","probe-79","0.5308277296562796","0.3216822135242898","0.1758739665277866","0"
"","html-keyboard-response","107","505857","0.0-63.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","108","512348","0.0-64.0-0.0","null","","","","","","","","null","0,0,1","0","city","10","probe-222","0.6225887962018449","0.20972468968266672","0.07199611674649138",""
"","html-keyboard-response","109","514711","0.0-64.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","",""
