"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","mem_probe_trials","choice_blocks"
"","html-keyboard-response","25","37058","0.0-9.0-0.0","174.0200000058394","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","37583","0.0-10.0-0.0","524.1899999964517","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","","","","","","","","","",""
"","do_welcome","27","39091","0.0-11.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","28","46146","0.0-12.0-0.0","null","","","null","1,0,0","0","countryside","0","probe-68","1","0.4","0.1","","","","","","","","","",""
"","do_trial","29","53944","0.0-13.0-0.0","null","","","null","1,0,0","0","countryside","1","probe-171","1","0.48447345619263504","0.12503788995726306","","","","","","","","","",""
"","do_bye","30","56050","0.0-14.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","31","62438","0.0-15.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","32","63944","0.0-15.0-1.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","33","71949","0.0-16.0-0.0","null","","","null","1,0,0","1","forest","2","probe-139","1","0.44950966608204534","0.09744521118546379","","","","","","","","","",""
"","do_trial","34","80382","0.0-17.0-0.0","null","","","null","1,1,0","1","forest","3","probe-181","1","0.3902905639223564","0.059399702484497","","","","","","","","","",""
"","do_bye","35","82723","0.0-18.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","36","89271","0.0-19.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","37","90944","0.0-19.0-1.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","38","98944","0.0-20.0-0.0","null","","","null","1,0,0","2","highway","4","probe-194","0.893013221574669","0.2853134288305727","0.10722871541885026","","","","","","","","","",""
"","do_trial","39","107174","0.0-21.0-0.0","null","","","null","1,0,0","2","highway","5","probe-160","0.9263257550137362","0.29306083025039753","0.05252220234815593","","","","","","","","","",""
"","do_bye","40","109616","0.0-22.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","41","116250","0.0-23.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","42","118785","0.0-23.0-1.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","43","126600","0.0-24.0-0.0","null","","","null","1,0,0","3","coast","6","probe-168","0.9213112381169104","0.25637822567278556","0.09607428978440358","","","","","","","","","",""
"","do_trial","44","133944","0.0-25.0-0.0","null","","","null","1,1,0","3","coast","7","probe-195","0.8296027213820852","0.32784970801778024","0.062407392297080685","","","","","","","","","",""
"","do_bye","45","136647","0.0-26.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","46","142963","0.0-27.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","47","144944","0.0-27.0-1.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","48","152944","0.0-28.0-0.0","null","","","null","1,0,0","4","mountain","8","probe-118","0.6520894587274043","0.3942379342311449","0.16792238382554392","","","","","","","","","",""
"","do_trial","49","161015","0.0-29.0-0.0","null","","","null","0,1,1","4","mountain","9","probe-54","0.629891466903466","0.3056972101790127","0.14908877850064145","","","","","","","","","",""
"","do_bye","50","163904","0.0-30.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","51","170301","0.0-31.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","52","172672","0.0-31.0-1.0","null","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","53","180054","0.0-32.0-0.0","null","","","null","0,1,1","5","city","10","probe-215","0.3484526153767493","0.6581859011119268","0.19271500067032804","","","","","","","","","",""
"","do_trial","54","188546","0.0-33.0-0.0","null","","","null","1,1,0","5","city","11","probe-91","0.21327508240832177","0.6495173279579403","0.23841547093419174","","","","","","","","","",""
"","do_bye","55","191548","0.0-34.0-0.0","null","","","null","","","","","","","","","","","","","","","","","",""
