success,trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,subject_id,stimulus,key_press,prompt,response,choice_outcomes,context_n,context_img_id,trial_n,pR_red,pR_white,pR_black,outcome,phase,island_num,passed
,html-keyboard-response,29,70748,0.0-29.0,2070.0999999940395,,,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,html-keyboard-response,30,72535,0.0-30.0,1785.7000000029802,,,<div class='center'><p>From these three pirates, you will get to choose which one you want to rob the next ship. <p>Press the <b>'1'</b> key on your keyboard to pick the pirate with the red beard.</p><p> Press <b>'2'</b> to pick the pirate with the white beard.</p><p> Press <b>'3'</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,49,,,,,,,,,,,,,
,html-keyboard-response,31,72762,0.0-31.0-0.0,224.5,,,<div class='center'><p>Yay! This pirate succeeded in robbing the ship!</p><p><img src='../static/images/tutorial/red_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,html-keyboard-response,32,73036,0.0-31.0-1.0,273.1000000089407,,,<div class='center'><p>Now try choosing another.</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,50,,,,,,,,,,,,,
,html-keyboard-response,33,73334,0.0-32.0-0.0,296.90000000596046,,,<div class='center'><p>Oh no! This pirate did not succeed in robbing the ship.</p><p><img src='../static/images/tutorial/white_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,instruc9,34,75340,0.0-33.0-0.0,null,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,null,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,,,,,,,,,,,,
,html-keyboard-response,35,77796,0.0-33.0-1.0,2455.1000000089407,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,instruc11,36,79798,0.0-33.0-2.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,,,,,,,,,,,,
,html-keyboard-response,37,80467,0.0-33.0-3.0,668.5999999940395,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,instruc12,38,82474,0.0-33.0-4.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,,,,,,,,,,,,
,html-keyboard-response,39,83194,0.0-33.0-5.0,718.7000000029802,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,instruc13,40,85202,0.0-33.0-6.0,null,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,null,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,,,,,,,,,,,,
,html-keyboard-response,41,85827,0.0-33.0-7.0,623.7000000029802,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,do_welcome,42,89836,0.0-33.0-8.0,null,,,,,,null,,,,,,,,,,,
,do_trial,43,93174,0.0-33.0-9.0,828.9000000059605,,,,,,49,1,0,0,,,,,,,,,,
,html-keyboard-response,44,94185,0.0-34.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,45,96914,0.0-34.0-1.0,222.79999999701977,,,,,,49,1,1,0,,,,,,,,,,
,html-keyboard-response,46,97923,0.0-35.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,47,101688,0.0-35.0-1.0,1256.6000000089407,,,,,,49,1,0,1,,,,,,,,,,
,html-keyboard-response,48,102702,0.0-36.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,49,105440,0.0-36.0-1.0,224.70000000298023,,,,,,49,0,1,0,,,,,,,,,,
,html-keyboard-response,50,106454,0.0-37.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,51,109516,0.0-37.0-1.0,555.4000000059605,,,,,,49,1,0,0,,,,,,,,,,
,do_bye,52,111023,0.0-38.0-0.0,null,,,,,,null,,,,,,,,,,,
,do_travel,53,120030,0.0-38.0-1.0,null,,,,,,null,,,,,,,,,,,
,do_welcome,54,124045,0.0-38.0-2.0,null,,,,,,null,,,,,,,,,,,
,do_trial,55,127404,0.0-38.0-3.0,850.5,,,,,,49,1,0,0,,,,,,,,,,
,html-keyboard-response,56,128416,0.0-39.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,57,130937,0.0-39.0-1.0,11.799999997019768,,,,,,49,1,0,1,,,,,,,,,,
,html-keyboard-response,58,131947,0.0-40.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,59,135073,0.0-40.0-1.0,623.3000000119209,,,,,,49,1,1,0,,,,,,,,,,
,html-keyboard-response,60,136077,0.0-41.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,61,139315,0.0-41.0-1.0,728.8000000119209,,,,,,49,0,0,1,,,,,,,,,,
,html-keyboard-response,62,140321,0.0-42.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,63,143590,0.0-42.0-1.0,760,,,,,,49,1,0,1,,,,,,,,,,
,html-keyboard-response,64,144453,0.0-43.0-0.0,862,,,<div class='center'><p><img src='../static/images/tutorial/prac_best_pirate.png' height='500'></p></div>,49,,,,,,,,,,,,,
,html-keyboard-response,65,145535,0.0-44.0-0.0,1080.4000000059605,,,<div class='center'><p>That's correct! Red beard was the best.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,quiz_beginning,66,147549,0.0-44.0-1.0,null,,,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,null,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,,,,,,,,,,,,
,html-keyboard-response,67,152359,0.0-44.0-2.0,4808.79999999702,,,<div class='center'><p>You win bonus money by collecting gold coins.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,
,correct,68,154368,0.0-45.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,
,html-keyboard-response,69,154766,0.0-45.0-1.0,396.90000000596046,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,html-keyboard-response,70,155089,0.0-45.0-2.0,322.20000000298023,,,<div class='center'><p>The pirate who is the best at robbing ships when you first arrive on the island will definitely still be the best when you leave the island. </p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,
,correct,71,157095,0.0-46.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,
,html-keyboard-response,72,157379,0.0-46.0-1.0,281.90000000596046,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,html-keyboard-response,73,158233,0.0-46.0-2.0,853.4000000059605,,,<div class='center'><p>The pirate who is the best at robbing ships on the first island will be the best on every other island.</p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,
,correct,74,160246,0.0-47.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,
,html-keyboard-response,75,160725,0.0-47.0-1.0,478.09999999403954,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,html-keyboard-response,76,161991,0.0-47.0-2.0,1264.3999999910593,,,<div class='center'><p>You should remember the island where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,
,correct,77,164009,0.0-48.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,
,html-keyboard-response,78,165025,0.0-48.0-1.0,1015.2000000029802,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,q_all_corr,79,167029,0.0-49.0-0.0,null,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,null,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,,,,,,,,,,,,
,html-keyboard-response,80,167448,0.0-49.0-1.0,416.79999999701977,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,
,do_welcome,81,171463,0.0-50.0-0.0,null,,,,,,null,,,,,,,,,,,
,do_trial,82,175287,0.0-51.0-0.0,1314.2000000029802,,,,,,49,1,0,0,0,mountain,0,0.6,0.3,0.1,1,learn,,
,html-keyboard-response,83,176305,0.0-51.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,84,179105,0.0-52.0-0.0,290.19999998807907,,,,,,49,0,0,0,0,mountain,1,0.37037073204287907,0.339219971635221,0.07518670869103089,0,learn,,
,html-keyboard-response,85,180107,0.0-52.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,86,182871,0.0-53.0-0.0,245,,,,,,49,0,1,0,0,mountain,2,0.5106036877725234,0.3790126295322365,0.13273883677413634,0,learn,,
,html-keyboard-response,87,183884,0.0-53.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,88,186966,0.0-54.0-0.0,568.7000000029802,,,,,,49,1,0,0,0,mountain,3,0.4756802639110003,0.35804631577991125,0.14775117955972758,1,learn,,
,html-keyboard-response,89,187979,0.0-54.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,90,191365,0.0-55.0-0.0,877.2999999970198,,,,,,49,0,0,0,0,mountain,4,0.5462968758229637,0.2626434567191345,0.08397373641216464,0,learn,,
,html-keyboard-response,91,192369,0.0-55.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,92,195954,0.0-56.0-0.0,1071,,,,,,49,1,0,0,0,mountain,5,0.5315106139148069,0.40148248842957673,0.05780479049804082,1,learn,,
,html-keyboard-response,93,196971,0.0-56.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,94,200154,0.0-57.0-0.0,670.7000000029802,,,,,,49,0,0,0,0,mountain,6,0.48882835301473565,0.3482420805802761,0.06438840903877406,0,learn,,
,html-keyboard-response,95,201160,0.0-57.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,96,203919,0.0-58.0-0.0,247.90000000596046,,,,,,49,1,0,0,0,mountain,7,0.6210323088981579,0.3325914536079296,0.08984660642502652,1,learn,,
,html-keyboard-response,97,204928,0.0-58.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,98,208077,0.0-59.0-0.0,642.3999999910593,,,,,,49,1,0,0,0,mountain,8,0.5247781497592482,0.37459511736829115,0.14335736896777487,1,learn,,
,html-keyboard-response,99,209082,0.0-59.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,100,212265,0.0-60.0-0.0,675.7999999970198,,,,,,49,1,0,0,0,mountain,9,0.4841948129318249,0.27852031365932306,0.05745844975086567,1,learn,,
,html-keyboard-response,101,213277,0.0-60.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,102,216160,0.0-61.0-0.0,377,,,,,,49,0,0,0,0,mountain,10,0.5059674590944521,0.25147163046992327,0.09837988489086763,0,learn,,
,html-keyboard-response,103,217165,0.0-61.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,104,221144,0.0-62.0-0.0,1468.7999999970198,,,,,,49,1,1,0,0,mountain,11,0.5510947505153685,0.3527799157234444,0.13186061550876593,1,learn,,
,html-keyboard-response,105,222153,0.0-62.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,106,225422,0.0-63.0-0.0,758.7999999970198,,,,,,49,1,1,0,0,mountain,12,0.5901726599314256,0.3770790755177949,0.12207657619642369,1,learn,,
,html-keyboard-response,107,226432,0.0-63.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,108,229178,0.0-64.0-0.0,234.70000000298023,,,,,,49,1,1,0,0,mountain,13,0.5325303273284443,0.3014496009926342,0.05049663964994637,1,learn,,
,html-keyboard-response,109,230180,0.0-64.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,110,232935,0.0-65.0-0.0,245.29999999701977,,,,,,49,1,1,1,0,mountain,14,0.5499776734731671,0.2637121116675911,0.08998310167373841,1,learn,,
,html-keyboard-response,111,233941,0.0-65.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,112,237918,0.0-66.0-0.0,1467.7000000029802,,,,,,49,1,0,0,0,mountain,15,0.6597627747125181,0.3957762295893478,0.19893335619197813,1,learn,,
,html-keyboard-response,113,238920,0.0-66.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,114,242176,0.0-67.0-0.0,745.7999999970198,,,,,,49,0,0,1,0,mountain,16,0.50057364550052,0.25043513668340245,0.19273484237504263,0,learn,,
,html-keyboard-response,115,243186,0.0-67.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,116,246419,0.0-68.0-0.0,721.7000000029802,,,,,,49,0,1,0,0,mountain,17,0.4739249773698518,0.42917035534858294,0.16252020564176753,0,learn,,
,html-keyboard-response,117,247432,0.0-68.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,118,250266,0.0-69.0-0.0,328.90000000596046,,,,,,49,0,0,0,0,mountain,18,0.46011366116204827,0.3613987063599388,0.14402068583326624,0,learn,,
,html-keyboard-response,119,251269,0.0-69.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,120,255324,0.0-70.0-0.0,1547,,,,,,49,1,0,0,0,mountain,19,0.621873836899552,0.332352764258067,0.07551468156338162,1,learn,,
,html-keyboard-response,121,256326,0.0-70.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,122,259450,0.0-71.0-0.0,612.4000000059605,,,,,,49,0,1,1,0,mountain,20,0.6226014401257493,0.32692079171330796,0.11481388625737694,0,learn,,
,html-keyboard-response,123,260459,0.0-71.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,124,263984,0.0-72.0-0.0,1017,,,,,,49,1,0,0,0,mountain,21,0.5416574287399649,0.31240485985922695,0.09177810247556113,1,learn,,
,html-keyboard-response,125,264993,0.0-72.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,126,267851,0.0-73.0-0.0,346.8999999910593,,,,,,49,0,1,0,0,mountain,22,0.5501848690384413,0.34964118978512454,0.10482151839208725,0,learn,,
,html-keyboard-response,127,268854,0.0-73.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,128,271623,0.0-74.0-0.0,255.90000000596046,,,,,,49,0,0,0,0,mountain,23,0.47139068701038966,0.37937678985787876,0.05381028326337806,0,learn,,
,html-keyboard-response,129,272639,0.0-74.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,130,275457,0.0-75.0-0.0,311.70000000298023,,,,,,49,1,1,0,0,mountain,24,0.6320836695152111,0.38045771438862797,0.08734194948312694,1,learn,,
,html-keyboard-response,131,276466,0.0-75.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,132,279180,0.0-76.0-0.0,208.20000000298023,,,,,,49,1,0,0,0,mountain,25,0.6416065327913207,0.4893159059503733,0.07257811219134454,1,learn,,
,html-keyboard-response,133,280184,0.0-76.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,134,282924,0.0-77.0-0.0,229.29999999701977,,,,,,49,1,1,0,0,mountain,26,0.5912034118416676,0.38243029272373913,0.10741562927485009,1,learn,,
,html-keyboard-response,135,283940,0.0-77.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
,do_trial,136,286700,0.0-78.0-0.0,241.20000000298023,,,,,,49,1,0,0,0,mountain,27,0.6358130396444623,0.3040141380522243,0.07072306879984323,1,learn,,
,html-keyboard-response,137,287704,0.0-78.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,
