success,trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,subject_id,stimulus,key_press,prompt,response,choice_outcomes,context_n,context_img_id,trial_n,pR_red,pR_white,pR_black,outcome,phase,island_num,passed,context_im
,html-keyboard-response,10,70500,0.0-10.0,1900.7000000476837,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,11,72000,0.0-11.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,12,72978,0.0-12.0,977.2000000476837,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,13,74478,0.0-13.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,14,75735,0.0-14.0,1255.8999999761581,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,15,77235,0.0-15.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_no_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,16,79149,0.0-16.0,1913.1000000238419,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,17,80650,0.0-17.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,18,81555,0.0-18.0,904.1999999284744,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,19,83056,0.0-19.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,20,83761,0.0-20.0,704.5,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,21,85261,0.0-21.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,22,85945,0.0-22.0,683.3000000715256,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,23,87445,0.0-23.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_no_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,24,88336,0.0-24.0,890,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,25,89837,0.0-25.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,html-keyboard-response,26,90350,0.0-26.0,512.8000000715256,,,<div class='center'><img src='../static/images/tutorial/blue.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,27,91851,0.0-27.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,
,instruc6,28,93854,0.0-28.0,null,,,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>,null,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>,,,,,,,,,,,,,
,html-keyboard-response,29,95220,0.0-29.0,1365.7000000476837,,,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,30,105964,0.0-30.0,10743.700000047684,,,<div class='center'><p>From these three pirates, you will get to choose which one you want to rob the next ship. <p>Press the <b>'1'</b> key on your keyboard to pick the pirate with the red beard.</p><p> Press <b>'2'</b> to pick the pirate with the white beard.</p><p> Press <b>'3'</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,51,,,,,,,,,,,,,,
,html-keyboard-response,31,108591,0.0-31.0-0.0,2626.2000000476837,,,<div class='center'><p>Yay! This pirate succeeded in robbing the ship!</p><p><img src='../static/images/tutorial/black_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,32,111216,0.0-31.0-1.0,2625.100000023842,,,<div class='center'><p>Now try choosing another.</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,49,,,,,,,,,,,,,,
,html-keyboard-response,33,113177,0.0-32.0-0.0,1959.7000000476837,,,<div class='center'><p>Oh no! This pirate did not succeed in robbing the ship.</p><p><img src='../static/images/tutorial/red_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,instruc9,34,115177,0.0-33.0-0.0,null,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,null,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,,,,,,,,,,,,,
,html-keyboard-response,35,118734,0.0-33.0-1.0,3556.100000023842,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,instruc11,36,120736,0.0-33.0-2.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,,,,,,,,,,,,,
,html-keyboard-response,37,131299,0.0-33.0-3.0,10562.400000095367,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,instruc12,38,133300,0.0-33.0-4.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,,,,,,,,,,,,,
,html-keyboard-response,39,148980,0.0-33.0-5.0,15679.100000023842,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,instruc13,40,150981,0.0-33.0-6.0,null,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,null,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,41,177052,0.0-33.0-7.0,26070.300000071526,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,do_welcome,42,181054,0.0-33.0-8.0,null,,,,,,null,,,,,,,,,,,,
,do_trial,43,184554,0.0-33.0-9.0,997.3000000715256,,,,,,49,1,0,0,,,,,,,,,,,
,html-keyboard-response,44,185555,0.0-34.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,45,189074,0.0-34.0-1.0,1016,,,,,,51,1,1,0,,,,,,,,,,,
,html-keyboard-response,46,190075,0.0-35.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,47,193485,0.0-35.0-1.0,908.8999999761581,,,,,,49,1,0,1,,,,,,,,,,,
,html-keyboard-response,48,194487,0.0-36.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,49,197436,0.0-36.0-1.0,435,,,,,,49,0,1,0,,,,,,,,,,,
,html-keyboard-response,50,198437,0.0-37.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,51,201397,0.0-37.0-1.0,457.89999997615814,,,,,,49,1,0,0,,,,,,,,,,,
,do_bye,52,202910,0.0-38.0-0.0,null,,,,,,null,,,,,,,,,,,,
,do_travel,53,211912,0.0-38.0-1.0,null,,,,,,null,,,,,,,,,,,,
,do_welcome,54,215915,0.0-38.0-2.0,null,,,,,,null,,,,,,,,,,,,
,do_trial,55,219637,0.0-38.0-3.0,1220.1000000238419,,,,,,50,1,0,0,,,,,,,,,,,
,html-keyboard-response,56,220638,0.0-39.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,57,223702,0.0-39.0-1.0,561.2000000476837,,,,,,51,1,0,1,,,,,,,,,,,
,html-keyboard-response,58,224718,0.0-40.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,59,227803,0.0-40.0-1.0,584.2000000476837,,,,,,51,1,1,0,,,,,,,,,,,
,html-keyboard-response,60,228804,0.0-41.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,61,232007,0.0-41.0-1.0,700.9000000953674,,,,,,51,0,0,1,,,,,,,,,,,
,html-keyboard-response,62,233008,0.0-42.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,63,236152,0.0-42.0-1.0,641.3999999761581,,,,,,51,1,0,1,,,,,,,,,,,
,html-keyboard-response,64,240044,0.0-43.0-0.0,3891,,,<div class='center'><p><img src='../static/images/tutorial/prac_best_pirate.png' height='500'></p></div>,51,,,,,,,,,,,,,,
,html-keyboard-response,65,243554,0.0-44.0-0.0,3509.1999999284744,,,<div class='center'><p>That's incorrect! Red beard was the best.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,quiz_beginning,66,245554,0.0-44.0-1.0,null,,,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,null,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,,,,,,,,,,,,,
,html-keyboard-response,67,250251,0.0-44.0-2.0,4696.300000071526,,,<div class='center'><p>You win bonus money by collecting gold coins.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,,
,correct,68,252252,0.0-45.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,69,253272,0.0-45.0-1.0,1019.1999999284744,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,70,259558,0.0-45.0-2.0,6285.700000047684,,,<div class='center'><p>The pirate who is the best at robbing ships when you first arrive on the island will definitely still be the best when you leave the island. </p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,
,correct,71,261559,0.0-46.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,72,262482,0.0-46.0-1.0,922.5,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,73,267919,0.0-46.0-2.0,5436.600000023842,,,<div class='center'><p>The pirate who is the best at robbing ships on the first island will be the best on every other island.</p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,
,correct,74,269920,0.0-47.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,75,270721,0.0-47.0-1.0,800.6000000238419,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,76,279749,0.0-47.0-2.0,9027.800000071526,,,<div class='center'><p>You should remember the island where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,
,q4_err,77,281751,0.0-48.0-0.0,null,,,<div class='center'><p>That’s incorrect. You should remember the island where a pirate robbed a ship. To help you remember, you can make up a story associating the object on the ship with the island.</p></div>,null,<div class='center'><p>That’s incorrect. You should remember the island where a pirate robbed a ship. To help you remember, you can make up a story associating the object on the ship with the island.</p></div>,,,,,,,,,,,,,
,html-keyboard-response,78,287820,0.0-48.0-1.0,6068.800000071526,,,<div class='center'><p>That’s incorrect. You should remember the island where a pirate robbed a ship. To help you remember, you can make up a story associating the object on the ship with the island.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,q_all_err,79,289821,0.0-49.0-0.0,null,,,<div class='center'><p>Oops, you missed some questions. Now that you’ve heard the correct answers. Try the quiz again! </p></div>,null,<div class='center'><p>Oops, you missed some questions. Now that you’ve heard the correct answers. Try the quiz again! </p></div>,,,,,,,,,,,,,
,html-keyboard-response,80,290968,0.0-49.0-1.0,1146.8999999761581,,,<div class='center'><p>Oops, you missed some questions. Now that you’ve heard the correct answers. Try the quiz again! </p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,81,294193,0.0-49.0-2.0,3224.7000000476837,,,<div class='center'><p>You win bonus money by collecting gold coins.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,,
,correct,82,296194,0.0-50.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,83,296734,0.0-50.0-1.0,539.1000000238419,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,84,300624,0.0-50.0-2.0,3889.7000000476837,,,<div class='center'><p>The pirate who is the best at robbing ships when you first arrive on the island will definitely still be the best when you leave the island. </p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,
,correct,85,302625,0.0-51.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,86,303266,0.0-51.0-1.0,640.2000000476837,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,87,306624,0.0-51.0-2.0,3357.7000000476837,,,<div class='center'><p>The pirate who is the best at robbing ships on the first island will be the best on every other island.</p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,
,correct,88,308624,0.0-52.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,89,309524,0.0-52.0-1.0,899.2999999523163,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,html-keyboard-response,90,311569,0.0-52.0-2.0,2044.8000000715256,,,<div class='center'><p>You should remember the island where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,,
,correct,91,313575,0.0-53.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,92,314522,0.0-53.0-1.0,946.5999999046326,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,q_all_corr,93,316523,0.0-54.0-0.0,null,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,null,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,,,,,,,,,,,,,
,html-keyboard-response,94,325148,0.0-54.0-1.0,8624.600000023842,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,
,do_welcome,95,329155,0.0-55.0-0.0,null,,,,,,null,,,,,,,,,,,,
,do_trial,96,333961,0.0-56.0-0.0,2304.899999976158,,,,,,49,1,1,0,0,forest,0,0.6,0.3,0.1,1,learn,,,
,html-keyboard-response,97,334962,0.0-56.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,98,338102,0.0-57.0-0.0,638.6000000238419,,,,,,49,0,1,0,0,forest,1,0.544822173188053,0.17429415542414176,0.10637851993436048,0,learn,,,
,html-keyboard-response,99,339102,0.0-57.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,100,342262,0.0-58.0-0.0,657.3999999761581,,,,,,49,0,0,0,0,forest,2,0.47863782059008075,0.24029996341927823,0.12269469820851077,0,learn,,,
,html-keyboard-response,101,343262,0.0-58.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,102,346228,0.0-59.0-0.0,463.7000000476837,,,,,,51,1,0,0,0,forest,3,0.534049088247166,0.3048746162952248,0.26869725052922877,0,learn,,,
,html-keyboard-response,103,347229,0.0-59.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,104,350230,0.0-60.0-0.0,500.5,,,,,,50,1,0,0,0,forest,4,0.6031068144970635,0.26843691528098906,0.151969424400653,0,learn,,,
,html-keyboard-response,105,351231,0.0-60.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,106,354594,0.0-61.0-0.0,860.7000000476837,,,,,,49,1,0,0,0,forest,5,0.6928461382662416,0.17756641725742164,0.060007746834587546,1,learn,,,
,html-keyboard-response,107,355596,0.0-61.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,108,358654,0.0-62.0-0.0,555.2999999523163,,,,,,49,1,0,0,0,forest,6,0.7877540087447009,0.13065676338705193,0.18142008479072594,1,learn,,,
,html-keyboard-response,109,359655,0.0-62.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,110,362950,0.0-63.0-0.0,792.5,,,,,,49,1,0,0,0,forest,7,0.6453319724774035,0.17255682780710732,0.20433612529624562,1,learn,,,
,html-keyboard-response,111,363951,0.0-63.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,112,367071,0.0-64.0-0.0,617.6000000238419,,,,,,49,1,0,0,0,forest,8,0.6114243924809465,0.23832988235256047,0.06808227261198688,1,learn,,,
,html-keyboard-response,113,368072,0.0-64.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,114,371168,0.0-65.0-0.0,594.6000000238419,,,,,,49,1,0,0,0,forest,9,0.5930516211784022,0.30204970104628864,0.11637388671633586,1,learn,,,
,html-keyboard-response,115,372174,0.0-65.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,116,375207,0.0-66.0-0.0,531.5,,,,,,49,1,0,0,0,forest,10,0.6832701685065798,0.23802043486979885,0.1981033182957851,1,learn,,,
,html-keyboard-response,117,376209,0.0-66.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,118,379542,0.0-67.0-0.0,830.5,,,,,,49,0,0,0,0,forest,11,0.6128418025000909,0.2921900082902976,0.26704198664077744,0,learn,,,
,html-keyboard-response,119,380542,0.0-67.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,120,383553,0.0-68.0-0.0,508.1999999284744,,,,,,49,0,1,0,0,forest,12,0.6496577067039693,0.31389189608990375,0.2519529322436072,0,learn,,,
,html-keyboard-response,121,384554,0.0-68.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,122,387458,0.0-69.0-0.0,401.8000000715256,,,,,,49,1,0,0,0,forest,13,0.7059394835547906,0.3067836175153576,0.1715317153362489,1,learn,,,
,html-keyboard-response,123,388460,0.0-69.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,124,391559,0.0-70.0-0.0,597.6000000238419,,,,,,49,1,0,0,0,forest,14,0.7330245021130055,0.32018601417616255,0.15526615076373232,1,learn,,,
,html-keyboard-response,125,392561,0.0-70.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
,do_trial,126,395588,0.0-71.0-0.0,525.2999999523163,,,,,,49,1,1,0,0,forest,15,0.6589372383499886,0.31016004927354573,0.08942196738612182,1,learn,,,
,html-keyboard-response,127,396589,0.0-71.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,
