"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt"
"","instruc5","10","105026","0.0-10.0","10424.179999856278","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>"
"","html-keyboard-response","11","106532","0.0-11.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","12","106779","0.0-12.0","246.42999982461333","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","13","108284","0.0-13.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","14","108512","0.0-14.0","227.84500010311604","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","15","110017","0.0-15.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","16","110325","0.0-16.0","307.73000000044703","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","17","111828","0.0-17.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","18","112082","0.0-18.0","253.8449999410659","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","19","113586","0.0-19.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","20","113855","0.0-20.0","268.3350001461804","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","21","115361","0.0-21.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","22","115622","0.0-22.0","260.4050000663847","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","23","117126","0.0-23.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","24","117412","0.0-24.0","285.39000009186566","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","25","118913","0.0-25.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","26","119176","0.0-26.0","261.739999987185","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","27","120680","0.0-27.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","28","120981","0.0-28.0","300.0900000333786","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","29","122482","0.0-29.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","instruc6","30","128131","0.0-30.0","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>"
"","html-keyboard-response","31","128476","0.0-31.0","343.6849999707192","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","audio-keyboard-response","32","130422","0.0-32.0","1944.8749998118728","run_exp/static/audio/clip_7_pick_pirate.m4a","49","","","","",""
"","audio-keyboard-response","33","130970","0.0-33.0-0.0","544.6850000880659","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","",""
"","audio-keyboard-response","34","131690","0.0-33.0-1.0","719.5449999999255","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","50","","","","",""
"","audio-keyboard-response","35","132196","0.0-34.0-0.0","504.12000017240644","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","",""
"","instruc9","36","137698","0.0-35.0-0.0","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>"
"","html-keyboard-response","37","138034","0.0-35.0-1.0","334.9300001282245","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","instruc10","38","175152","0.0-35.0-2.0","null","run_exp/static/audio/clip_12_probe.m4a","null","","","","","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. After all, ships that have already been robbed won’t have gold on them. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p></div>"
"","html-keyboard-response","39","666395","0.0-35.0-3.0","491242.1800000593","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. After all, ships that have already been robbed won’t have gold on them. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","instruc11","40","683061","0.0-35.0-4.0","null","run_exp/static/audio/clip_13_changepoint.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p></div>"
