success,trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,subject_id,stimulus,key_press,prompt,response,choice_outcomes,context_n,context_img_id,trial_n,pR_red,pR_white,pR_black,outcome,phase,island_num,passed,context_im,contextArray_ind,pRew_Red,pRew_White,pRew_Black
,html-keyboard-response,27,45003,0.0-27.0,null,,,<div class='center'><p><img src='../static/images/tutorial/blue_win.png' height='500'></p></div>,null,,,,,,,,,,,,,,,,,,
,instruc6,28,47009,0.0-28.0,null,,,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>,null,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,29,47326,0.0-29.0,316.40000000596046,,,<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,html-keyboard-response,30,48222,0.0-30.0,894,,,<div class='center'><p>From these three pirates, you will get to choose which one you want to rob the next ship. <p>Press the <b>'1'</b> key on your keyboard to pick the pirate with the red beard.</p><p> Press <b>'2'</b> to pick the pirate with the white beard.</p><p> Press <b>'3'</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,49,,,,,,,,,,,,,,,,,,
,html-keyboard-response,31,48415,0.0-31.0-0.0,192,,,<div class='center'><p>Yay! This pirate succeeded in robbing the ship!</p><p><img src='../static/images/tutorial/red_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,html-keyboard-response,32,48649,0.0-31.0-1.0,232.3999999910593,,,<div class='center'><p>Now try choosing another.</p><p><img src='../static/images/tutorial/all_pirates.png' height='500'></p></div>,50,,,,,,,,,,,,,,,,,,
,html-keyboard-response,33,49060,0.0-32.0-0.0,409.79999999701977,,,<div class='center'><p>Oh no! This pirate did not succeed in robbing the ship.</p><p><img src='../static/images/tutorial/white_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,instruc9,34,51064,0.0-33.0-0.0,null,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,null,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,35,53883,0.0-33.0-1.0,2817.4000000059605,,,<div class='center'><p>If you don't make your choice fast enough, you'll have to wait a few seconds before you can make another one. </p><p><img src='../static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,instruc11,36,55887,0.0-33.0-2.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,37,56382,0.0-33.0-3.0,494,,,<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you're on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they're more likely to be successful than a pirate who has never visited the island before.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,instruc12,38,58387,0.0-33.0-4.0,null,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,null,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,39,58785,0.0-33.0-5.0,397,,,<div class='center'><p>How successful a pirate is at robbing ships can also change over the time spent on the island. </p><p> Ships may hear from islanders about the pirates coming and will improve their protections against the attack. This may make it harder to rob them.</p><p> Ships may also become lazy and weaken the strength of their protections. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='../static/images/tutorial/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,instruc13,40,60787,0.0-33.0-6.0,null,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,null,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,41,61263,0.0-33.0-7.0,475.3999999910593,,,<div class='center'><p>Let's go over the instructions quickly again. You have one thing to do: </p><p><b>Pick the pirate who is the best at robbing ships on the current island.</b></p><p>The amount of bonus money you win depends on it.</p><br><p>Let's try a practice game. The game will start by showing you an island. Pick a pirate using the <b>1, 2, 3</b> keys on your keyboard to get it to try and rob one of the ships leaving the island.</p><p>This is just a practice game, so you're not playing for money.</p><p>Good luck! This game will be very difficult but try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,do_welcome,42,65275,0.0-33.0-8.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,43,68445,0.0-33.0-9.0,664,,,,,,49,1,0,0,,,,,,,,,,,,,,,
,html-keyboard-response,44,69463,0.0-34.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,45,72308,0.0-34.0-1.0,334.70000000298023,,,,,,49,1,1,0,,,,,,,,,,,,,,,
,html-keyboard-response,46,73310,0.0-35.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,47,77083,0.0-35.0-1.0,1262.5,,,,,,49,1,0,1,,,,,,,,,,,,,,,
,html-keyboard-response,48,78102,0.0-36.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,49,82490,0.0-36.0-1.0,1883.199999988079,,,,,,49,0,1,0,,,,,,,,,,,,,,,
,html-keyboard-response,50,83495,0.0-37.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,51,86339,0.0-37.0-1.0,336.59999999403954,,,,,,49,1,0,0,,,,,,,,,,,,,,,
,do_bye,52,87851,0.0-38.0-0.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_travel,53,96860,0.0-38.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_welcome,54,100869,0.0-38.0-2.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,55,103882,0.0-38.0-3.0,505.90000000596046,,,,,,49,1,0,0,,,,,,,,,,,,,,,
,html-keyboard-response,56,104885,0.0-39.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,57,108238,0.0-39.0-1.0,847.7999999970198,,,,,,49,1,0,1,,,,,,,,,,,,,,,
,html-keyboard-response,58,109242,0.0-40.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,59,112194,0.0-40.0-1.0,441.79999999701977,,,,,,50,1,1,0,,,,,,,,,,,,,,,
,html-keyboard-response,60,113212,0.0-41.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,61,115950,0.0-41.0-1.0,229.09999999403954,,,,,,50,0,0,1,,,,,,,,,,,,,,,
,html-keyboard-response,62,116953,0.0-42.0-0.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,63,119699,0.0-42.0-1.0,236.69999998807907,,,,,,50,1,0,1,,,,,,,,,,,,,,,
,html-keyboard-response,64,120702,0.0-43.0-0.0,1001.0999999940395,,,<div class='center'><p><img src='../static/images/tutorial/prac_best_pirate.png' height='500'></p></div>,49,,,,,,,,,,,,,,,,,,
,html-keyboard-response,65,121412,0.0-44.0-0.0,709.2999999970198,,,<div class='center'><p>That's correct! Red beard was the best.</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,quiz_beginning,66,123426,0.0-44.0-1.0,null,,,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,null,<div class='center'><p>Good job on the practice game! Now, you will be asked some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,67,124746,0.0-44.0-2.0,1319.2999999970198,,,<div class='center'><p>You win bonus money by collecting gold coins.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,,,,,,
,correct,68,126759,0.0-45.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,69,127019,0.0-45.0-1.0,258.70000000298023,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,html-keyboard-response,70,129174,0.0-45.0-2.0,2153.8999999910593,,,<div class='center'><p>The pirate who is the best at robbing ships when you first arrive on the island will definitely still be the best when you leave the island. </p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,,,,,
,correct,71,131191,0.0-46.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,72,131433,0.0-46.0-1.0,241,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,html-keyboard-response,73,132185,0.0-46.0-2.0,751.0999999940395,,,<div class='center'><p>The pirate who is the best at robbing ships on the first island will be the best on every other island.</p><p>Press 1 for true and press  2 for false.</p></div>,50,,,,,,,,,,,,,,,,,,
,correct,74,134192,0.0-47.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,75,134398,0.0-47.0-1.0,205,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,html-keyboard-response,76,135369,0.0-47.0-2.0,970.4000000059605,,,<div class='center'><p>You should remember the island where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>,49,,,,,,,,,,,,,,,,,,
,correct,77,137391,0.0-48.0-0.0,null,,,<div class='center'><p>That's correct!</p></div>,null,<div class='center'><p>That's correct!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,78,137725,0.0-48.0-1.0,332.90000000596046,,,<div class='center'><p>That's correct!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,q_all_corr,79,139732,0.0-49.0-0.0,null,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,null,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p></div>,,,,,,,,,,,,,,,,,
,html-keyboard-response,80,140028,0.0-49.0-1.0,294.09999999403954,,,<div class='center'><p>Good job! You’re now ready to move on to the real game! Remember this game will be difficult but don't get discouraged and try your best!</p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,,
,do_welcome,81,144054,0.0-50.0-0.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,82,146966,0.0-51.0-0.0,399.59999999403954,,,,,,49,1,0,1,0,coast,0,0.6,0.3,0.1,1,learn,,,,,,,
,html-keyboard-response,83,147974,0.0-51.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,84,152967,0.0-52.0-0.0,2487.3999999910593,,,,,,49,0,1,1,0,coast,1,0.6505087530249786,0.3429379611945963,0.2483100333777408,0,learn,,,,,,,
,html-keyboard-response,85,153974,0.0-52.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,86,158072,0.0-53.0-0.0,1592.800000011921,,,,,,49,1,0,0,0,coast,2,0.7385232959567111,0.31592695309429764,0.29176724145548333,1,learn,,,,,,,
,html-keyboard-response,87,159081,0.0-53.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,88,162264,0.0-54.0-0.0,676.5999999940395,,,,,,49,1,1,0,0,coast,3,0.6840700041875176,0.32521766713618083,0.20093592278207795,1,learn,,,,,,,
,html-keyboard-response,89,163266,0.0-54.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,90,167712,0.0-55.0-0.0,1942,,,,,,49,1,0,0,0,coast,4,0.7444108287783641,0.40963187752880714,0.16953931018624374,1,learn,,,,,,,
,html-keyboard-response,91,168725,0.0-55.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,92,171564,0.0-56.0-0.0,321.59999999403954,,,,,,49,1,0,1,0,coast,5,0.7776989121549859,0.29393743923461174,0.1558375443665924,1,learn,,,,,,,
,html-keyboard-response,93,172575,0.0-56.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,94,175330,0.0-57.0-0.0,249.09999999403954,,,,,,49,1,1,0,0,coast,6,0.7854250095940312,0.25201660467705284,0.23940373865993153,1,learn,,,,,,,
,html-keyboard-response,95,176334,0.0-57.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,96,179123,0.0-58.0-0.0,276.19999998807907,,,,,,49,1,1,0,0,coast,7,0.7231665955557672,0.1969967484475919,0.14552192013913223,1,learn,,,,,,,
,html-keyboard-response,97,180126,0.0-58.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,98,182861,0.0-59.0-0.0,228,,,,,,49,1,0,0,0,coast,8,0.701737533013664,0.24796731128477928,0.06379999116852979,1,learn,,,,,,,
,html-keyboard-response,99,183864,0.0-59.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,100,186979,0.0-60.0-0.0,606.2000000029802,,,,,,49,1,0,0,0,coast,9,0.8003132884532093,0.2207320235384358,0.16017609214798087,1,learn,,,,,,,
,html-keyboard-response,101,187983,0.0-60.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,102,191022,0.0-61.0-0.0,520.7000000029802,,,,,,49,1,0,0,0,coast,10,0.6780074944899224,0.2885071239368085,0.20240538894213703,1,learn,,,,,,,
,html-keyboard-response,103,192033,0.0-61.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,104,195140,0.0-62.0-0.0,599.8999999910593,,,,,,49,1,1,0,0,coast,11,0.6134010351661481,0.3344224832057735,0.05509905817423407,1,learn,,,,,,,
,html-keyboard-response,105,196155,0.0-62.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,106,198950,0.0-63.0-0.0,283.20000000298023,,,,,,49,1,0,0,0,coast,12,0.6617504806562268,0.2485090337548897,0.06579394781799142,1,learn,,,,,,,
,html-keyboard-response,107,199957,0.0-63.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,108,203488,0.0-64.0-0.0,1021.1000000089407,,,,,,49,0,1,0,0,coast,13,0.49734558060987083,0.3318938091921749,0.0921831666975924,0,learn,,,,,,,
,html-keyboard-response,109,204502,0.0-64.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,110,207489,0.0-65.0-0.0,476.59999999403954,,,,,,49,1,1,1,0,coast,14,0.4560751229761694,0.33622464845616307,0.1565442802393199,1,learn,,,,,,,
,html-keyboard-response,111,208503,0.0-65.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,112,211242,0.0-66.0-0.0,226.59999999403954,,,,,,49,1,0,0,0,coast,15,0.4191334485580818,0.33391766872684947,0.19900623263486755,1,learn,,,,,,,
,html-keyboard-response,113,212248,0.0-66.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,114,215569,0.0-67.0-0.0,812.5,,,,,,49,0,1,1,0,coast,16,0.5326508021292705,0.26568494071411425,0.17925629776662,0,learn,,,,,,,
,html-keyboard-response,115,216572,0.0-67.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,116,219498,0.0-68.0-0.0,416.5,,,,,,49,1,0,0,0,coast,17,0.7303338339052521,0.30417366481304453,0.13024474427507152,1,learn,,,,,,,
,html-keyboard-response,117,220505,0.0-68.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,118,224046,0.0-69.0-0.0,1026.2999999970198,,,,,,49,1,0,0,0,coast,18,0.7665053008180612,0.3692625533097447,0.1583432249256338,1,learn,,,,,,,
,html-keyboard-response,119,225057,0.0-69.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,120,228180,0.0-70.0-0.0,613.7000000029802,,,,,,49,0,0,0,0,coast,19,0.6219375488031965,0.3157738916323116,0.06571741368650887,0,learn,,,,,,,
,html-keyboard-response,121,229190,0.0-70.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,122,233817,0.0-71.0-0.0,2112.4000000059605,,,,,,49,1,0,0,0,coast,20,0.6081080794944189,0.1556918950639224,0.06801792800144123,1,learn,,,,,,,
,html-keyboard-response,123,234826,0.0-71.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,124,237749,0.0-72.0-0.0,418.29999999701977,,,,,,49,0,0,0,0,coast,21,0.6342893290874878,0.2837545094766336,0.08457235628216832,0,learn,,,,,,,
,html-keyboard-response,125,238756,0.0-72.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,126,241878,0.0-73.0-0.0,608.3999999910593,,,,,,49,1,0,0,0,coast,22,0.6123646345616911,0.2492482113360396,0.05910181738009185,1,learn,,,,,,,
,html-keyboard-response,127,242886,0.0-73.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,128,245702,0.0-74.0-0.0,309,,,,,,49,1,0,0,0,coast,23,0.7204347961751967,0.30019869466333937,0.10432330639706086,1,learn,,,,,,,
